10068	23	0	
10095	27	0	
10109	58	10068	
10158	67	0	
10255	5	"10109;10158"	
10324	71	10109	
10397	17	0	
10465	28	0	
10486	15	"10109;10255"	
10553	38	0	
10559	14	10095	
10646	2	0	
10746	32	"10068;10095"	
10823	11	10397	
10894	22	10095	
10934	75	0	
10951	31	10934	
11025	93	"10095;10894"	
11054	14	0	
11148	1	"10486;11025"	
11176	6	"10109;10553"	
11218	11	"10109;11148"	
11229	94	10951	
11307	55	10746	
11366	56	10095	
11433	90	0	
11521	57	"11229;11307"	
11549	54	0	
11644	48	10746	
11741	43	11025	
11794	62	10553	
11885	97	0	
11948	22	11025	
12003	3	0	
12027	6	11307	
12031	38	10068	
12071	9	0	
12099	32	"10746;11148"	
12116	5	12099	
12215	98	0	
12236	70	11885	
12254	38	0	
12262	43	0	
12343	61	0	
12367	74	0	
12436	3	"11229;12367"	
12533	46	0	
12552	48	10486	
12570	24	"10934;11741"	
12612	21	0	
12615	8	0	
12708	44	"11054;12236"	
12746	11	"12254;12615"	
12800	8	"11644;12116"	
12838	5	"11025;11885"	
12912	91	0	
12962	18	10465	
12967	19	11948	
13066	84	10255	
13154	5	11307	
13252	2	10553	
13256	19	0	
13351	68	0	
13370	10	11644	
13377	46	"11433;13351"	
13477	83	"12254;12570"	
13484	36	0	
13538	3	0	
13554	51	"12746;12967"	
13559	26	0	
13637	84	"13538;13554"	
13655	55	"12436;13477"	
13752	53	0	
13837	69	0	
13885	86	"11741;12116"	
13900	86	"12071;12967"	
14000	93	11885	
14080	85	0	
14119	76	12615	
14126	61	11644	
14225	98	13351	
14254	54	0	
14308	89	10068	
14380	10	0	
14389	56	0	
14488	14	13484	
14568	57	11054	
14594	81	0	
14648	70	0	
14710	17	0	
14791	82	0	
14810	26	13559	
14837	25	14126	
14876	46	0	
14889	98	11644	
14960	88	"14254;14889"	
15023	57	"12116;13256"	
15074	41	13256	
15152	97	12800	
15211	41	14594	
